time,value
0,4.615131226
0.0005,4.615131226
0.001,3.394353595
0.0015,1.868381556
0.002,1.563187149
0.0025,2.783964779
0.003,4.00474241
0.0035,4.309936818
0.004,3.699548003
0.0045,2.783964779
0.005,1.563187149
0.0055,-0.267979298
0.006,-1.793951336
0.0065,-2.099145744
0.007,-0.878368113
0.0075,-0.267979298
0.008,-0.267979298
0.0085,-0.267979298
0.009,-0.878368113
0.0095,-1.793951336
0.01,-3.319923375
0.0105,-4.235506598
0.011,-3.93031219
0.0115,-2.709534559
0.012,-1.183562521
0.0125,-0.267979298
0.013,0.647603926
0.0135,0.647603926
0.014,-0.573173705
0.0145,-2.099145744
0.015,-1.793951336
0.0155,-0.878368113
0.016,-0.573173705
0.0165,-1.183562521
0.017,-0.878368113
0.0175,0.647603926
0.018,1.563187149
0.0185,0.03721511
0.019,-2.709534559
0.0195,-3.93031219
0.02,-3.319923375
0.0205,-2.709534559
0.021,-2.099145744
0.0215,-0.267979298
0.022,2.478770372
0.0225,4.920325633
0.023,4.00474241
0.0235,0.952798333
0.024,-0.267979298
0.0245,1.868381556
0.025,4.309936818
0.0255,4.00474241
0.026,1.563187149
0.0265,-0.267979298
0.027,-0.573173705
0.0275,-0.573173705
0.028,-1.183562521
0.0285,-2.709534559
0.029,-3.625117782
0.0295,-3.625117782
0.03,-2.099145744
0.0305,-0.267979298
0.031,1.563187149
0.0315,1.868381556
0.032,0.647603926
0.0325,-0.267979298
0.033,0.03721511
0.0335,1.257992741
0.034,1.868381556
0.0345,1.257992741
0.035,0.647603926
0.0355,0.342409518
0.036,0.342409518
0.0365,0.342409518
0.037,-0.267979298
0.0375,0.03721511
0.038,0.647603926
0.0385,0.342409518
0.039,-0.878368113
0.0395,-1.793951336
0.04,-0.573173705
0.0405,1.257992741
0.041,1.563187149
0.0415,1.563187149
0.042,3.394353595
0.0425,6.141103264
0.043,6.75149208
0.0435,4.920325633
0.044,4.00474241
0.0445,3.699548003
0.045,1.868381556
0.0455,-1.183562521
0.046,-1.793951336
0.0465,3.089159187
0.047,8.887852934
0.0475,10.41382497
0.048,8.582658526
0.0485,7.361880895
0.049,6.446297672
0.0495,2.478770372
0.05,-2.709534559
0.0505,-6.371867452
0.051,-7.592645082
0.0515,-8.203033898
0.052,-9.118617121
0.0525,-7.89783949
0.053,-5.761478636
0.0535,-6.371867452
0.054,-9.118617121
0.0545,-9.729005936
0.055,-6.677061859
0.0555,-5.151089821
0.056,-7.592645082
0.0565,-10.94978357
0.057,-10.33939475
0.0575,-7.592645082
0.058,-6.371867452
0.0585,-6.371867452
0.059,-4.845895413
0.0595,-2.709534559
0.06,-2.709534559
0.0605,-3.93031219
0.061,-3.319923375
0.0615,-0.267979298
0.062,1.563187149
0.0625,1.563187149
0.063,2.173575964
0.0635,4.920325633
0.064,6.141103264
0.0645,2.783964779
0.065,-1.793951336
0.0655,-4.540701005
0.066,-6.066673044
0.0665,-9.729005936
0.067,-12.78095001
0.0675,-10.33939475
0.068,-3.93031219
0.0685,0.03721511
0.069,-1.183562521
0.0695,-4.540701005
0.07,-5.456284228
0.0705,-5.456284228
0.071,-6.371867452
0.0715,-7.592645082
0.072,-6.371867452
0.0725,-4.540701005
0.073,-3.625117782
0.0735,-3.014728967
0.074,-0.267979298
0.0745,3.089159187
0.075,4.615131226
0.0755,3.699548003
0.076,3.089159187
0.0765,3.394353595
0.077,3.089159187
0.0775,1.257992741
0.078,0.952798333
0.0785,2.478770372
0.079,4.00474241
0.0795,4.00474241
0.08,2.783964779
0.0805,2.478770372
0.081,2.783964779
0.0815,3.394353595
0.082,3.699548003
0.0825,4.309936818
0.083,4.309936818
0.0835,2.173575964
0.084,-0.878368113
0.0845,-2.709534559
0.085,-2.404340151
0.0855,-1.793951336
0.086,-2.099145744
0.0865,-2.404340151
0.087,-1.183562521
0.0875,0.03721511
0.088,0.952798333
0.0885,1.868381556
0.089,4.00474241
0.0895,7.056686487
0.09,7.667075303
0.0905,6.141103264
0.091,4.920325633
0.0915,5.225520041
0.092,6.446297672
0.0925,6.446297672
0.093,5.225520041
0.0935,3.699548003
0.094,1.868381556
0.0945,0.342409518
0.095,-0.267979298
0.0955,-0.573173705
0.096,-1.488756928
0.0965,-3.93031219
0.097,-6.677061859
0.0975,-9.729005936
0.098,-13.08614442
0.0985,-15.83289409
0.099,-16.1380885
0.0995,-14.30692205
0.1,-12.1705612
0.1005,-10.64458916
0.101,-10.03420034
0.1015,-9.118617121
0.102,-7.592645082
0.1025,-4.845895413
0.103,-1.183562521
0.1035,2.173575964
0.104,4.309936818
0.1045,5.225520041
0.105,6.75149208
0.1055,7.667075303
0.106,6.446297672
0.1065,2.783964779
0.107,0.647603926
0.1075,1.868381556
0.108,4.615131226
0.1085,5.530714449
0.109,4.615131226
0.1095,4.309936818
0.11,4.615131226
0.1105,4.00474241
0.111,2.783964779
0.1115,1.868381556
0.112,1.868381556
0.1125,1.868381556
0.113,0.647603926
0.1135,-0.573173705
0.114,-1.793951336
